India/ State/UT,Promotion Rate,Dropout Rate,Projector %,Smart Class facility %,Digital Library %,Computer Facility %,Internet Facility %,Library/ Reading Corner %,Playground %,Functional Girls' Toilet%,Functional Boys' Toilet %,Functional Electricity %,Functional Drinking Water %,Hand wash facility %
India,93.6,5.7,16.7,14.9,2.2,9.98,33.91,87.3,76.96,93.9,90.86,86.58,95.93,93.64
Andaman and Nicobar Islands,97.8,2.1,27.6,37.3,1.9,40.14,44.95,99.52,96.15,99.52,99.28,92.79,100,100
Andhra Pradesh,94,6,23.8,18,5,10.36,56.09,97.57,79.37,95.69,83.6,97.96,99.12,98.42
Arunachal Pradesh,89.1,9.2,22.4,9.3,0.9,7.3,22.04,44.99,68.22,68.69,67.25,53.79,67.94,45.24
Assam,87.8,11.7,5.9,2.4,0.5,4.36,11.71,87.36,78.44,82.42,76.5,75.06,91.34,89.21
Bihar,91.6,8.4,3.2,4.6,1,1.94,11.14,63.35,49.84,97.46,95.53,87.55,99.26,86.36
Chandigarh,100,0,85,41.2,10.3,82.4,98.71,98.28,95.28,99.57,98.71,100,100,100
Chhattisgarh,94.9,4.9,9.3,5.9,1.4,4.4,36.69,98.19,79.16,96.13,91.96,91.4,98.31,98.18
"Dadra and Nagar Haveli and
Daman and Diu",96.7,3.2,27.4,20.9,1.3,38.26,57.39,98.7,99.78,98.91,99.13,100,100,100
Delhi,97.7,1.6,60.8,43.6,4.9,46.06,100,100,96.48,83.52,85,100,100,100
Goa,96.5,3,41.1,9.3,1.5,29.74,58.21,99.74,89.4,99.21,99.07,100,100,100
Gujarat,92.4,7.6,38.5,21.9,2.5,20.31,91.96,95.99,88.24,95.74,94.09,99.96,99.93,96.73
Haryana,97.6,2,26.7,17.6,2.9,28.07,51.24,97.05,89.86,95.33,92.8,97.82,99.49,99.46
Himachal Pradesh,99.3,0.7,16.4,13.3,1.3,14.73,34.47,95.93,86.84,98.41,97.58,97.78,99.82,99.39
Jammu and Kashmir,95.5,4.3,12.6,8.1,1.2,9.68,29.74,72.18,61.82,82.37,78.76,72.94,95.31,96.27
Jharkhand,94.8,5,7.4,4.5,1.9,5.42,37.29,93.9,71.15,96.5,94.43,92.09,95.88,91.45
Karnataka,93.4,5.3,22.5,10.5,3.7,10.64,29.55,96.37,81.28,97.25,93.4,98.59,98.04,89.34
Kerala,98.2,1.8,82.3,38.5,7.4,83.18,95.19,98.44,87.99,99.04,97.68,99.52,99.66,99.22
Ladakh,95.6,4.2,19,15.2,4.1,16.16,42.74,97.55,76.48,89.88,92.94,92.23,91.72,63.5
Lakshadweep,99,1,84.2,47.4,7.9,78.95,97.37,100,97.37,100,100,100,100,100
Madhya Pradesh,91.9,7.3,6.9,5.2,2.1,2.59,27.52,94.82,80.51,94.78,92.79,74.84,94.15,92.99
Maharashtra,95.8,4.1,46.6,17.3,4.8,23.43,47.95,97.76,93.07,93.7,90.94,85.55,98,98.44
Manipur,93.2,6.7,10.8,6.1,1,4.16,23.07,25.71,86.9,75.27,74.79,54.49,98.35,83.24
Meghalaya,83.6,14,5,2.3,0.7,1.89,16.85,23.75,43.67,69.61,73.07,24.66,46.03,37.88
Mizoram,92.3,7,5.7,0.6,0.1,1.51,7.85,82.59,80.39,86.83,86.99,79.62,90.21,72.74
Nagaland,88.5,8.8,14,12,1.3,10.74,50.88,72.33,72.92,77.08,76.2,67.11,60.56,60.52
Odisha,88.3,11.5,7.8,5.6,2.8,5.98,14.9,94.65,63.96,90.13,87.64,76.65,97.01,96.72
Puducherry,95.9,4.1,59,39.4,4.2,54.48,98.37,99.59,91.85,96.47,95.52,100,100,99.59
Punjab,91,8.8,80.9,53.9,6.4,46.93,59.31,99.55,97.54,98.63,96.82,99.98,99.97,99.96
Rajasthan,94.4,5.2,12.4,6.4,2.1,9.53,59.86,77.5,80.35,92.58,87.98,86.69,92.48,96.79
Sikkim,94.7,4.6,34.9,25.3,5.6,31.85,34.47,89.91,85.62,92.14,98.49,98.41,99.29,97.3
Tamil Nadu,98.4,1.5,15.5,0,0,9.89,37.56,100,86.78,98.77,98.01,100,100,100
Telangana,94.4,5.6,15.5,3.5,1.8,4.09,22.95,91.71,73.62,77.59,67.63,90.34,86.39,88.48
Tripura,94.8,4.6,12.7,4.3,0.7,9.37,18.18,70.87,77.99,74.48,72.45,54.98,75.49,85.6
Uttar Pradesh,94,5.1,6.6,4.1,1.6,2.85,21.14,79.04,76.17,96.73,95.11,81.32,96.59,92.62
Uttarakhand,96.9,2.8,13.5,9.1,1.5,14.35,27.37,91.55,77.7,90.28,88.04,88.61,92.47,96.42
West Bengal,88.1,8.9,10.3,99.9,0.4,8.55,16.67,87.41,66.04,98.81,96.93,96.16,99.49,97.55
